BINOMIAL,GENUS,SPECIES,BELOW_SPECIES,Author,FAMILY,ORDER,Bold_Process_ID,matK_Accession,rbcLa_Accession,trnH_psbA_Accession,Collector,Collection_Date,Voucher_Institution
Mouriri helleri,Mouriri,helleri,var. helleri,Britton,Melastomataceae,Myrtales,PRTRE631-13,KJ012686,KJ082443,,R.A. Muscarella-563,13-Feb-2012,US
Mouriri helleri,Mouriri,helleri,var. helleri,Britton,Melastomataceae,Myrtales,PRTRE216-13,KJ012687,KJ082444,,R.A. Muscarella-411,30-Jul-2011,US
Mouriri helleri,Mouriri,helleri,var. helleri,Britton,Melastomataceae,Myrtales,PRTRE513-13,KJ012688,KJ082445,KJ426835,R.A. Muscarella-615,21-Feb-2012,US
Muntingia calabura,Muntingia,calabura,,L.,Muntingiaceae,Malvales,PRTRE204-13,KJ012689,KJ082446,,R.A. Muscarella-414,30-Jul-2011,US
Myrcia guianensis,Myrcia,guianensis,,(Aubl.) DC.,Myrtaceae,Myrtales,PRTRE219-13,KJ012690,KJ082447,KJ426836,R.A. Muscarella-235,16-Jul-2011,US
Myrcia guianensis,Myrcia,guianensis,,(Aubl.) DC.,Myrtaceae,Myrtales,PRTRE633-13,,KJ082448,KJ426837,R.A. Muscarella-598,13-Feb-2012,US
Myrcia guianensis,Myrcia,guianensis,,(Aubl.) DC.,Myrtaceae,Myrtales,PRTRE608-13,,KJ082449,,R.A. Muscarella-560,21-Feb-2012,US
Myrcianthes fragrans,Myrcianthes,fragrans,,(Sw.) McVaugh,Myrtaceae,Myrtales,PRTRE357-13,,U26328.2,,G.J. Breckon-4179,02-Feb-1992,US
Myrciaria borinquena,Myrciaria,borinquena,,Alain,Myrtaceae,Myrtales,PRTRE624-13,KJ012691,KJ082450,KJ426838,R.A. Muscarella-545,13-Feb-2012,US
Myrciaria floribunda,Myrciaria,floribunda,,(H. West ex Willd.) O. Berg,Myrtaceae,Myrtales,PRTRE380-13,,KJ082451,KJ426839,F. Axelrod-13159,02-Jun-2005,US
